number,volume,entropy,sd,mean,skew_value,binary_skew_value
20140226,56328,11.726398406305739,0.49922923671555103,0.4722480773925781,5.709917934606435,-1.6264030277250525
20140127,45205,11.56287685941263,0.4901027483145036,0.40100860595703125,2.693651423523636,-0.833327364048026
20110719,45746,11.454066782963817,0.47990214052157587,0.3596649169921875,2.3804349741473176,-0.3375948187514987
20100201,50413,11.716298868460798,0.4989428009330231,0.4675025939941406,3.6263395087108243,-1.379805660503154
20120324,41369,11.456408022135053,0.48014786492920997,0.3605079650878906,3.0037860939302368,-0.46806406588932425
20090619,57864,11.767986200404486,0.49994073637419223,0.49230194091796875,6.668874623025538,-1.8204221410897419
20081027,20861,10.943958591598236,0.4971999039652173,0.552841796875,3.6025531416428924,-1.5550982004984244
20100420,49079,11.574848067574429,0.4910534799253864,0.4058380126953125,3.7804170018470473,-0.723508545228136
20120316,10779,10.150152298891681,0.47625877395644756,0.34775815217391304,3.801318527864736,0.26713404826886195
20101126,53733,11.70600560675005,0.49860790194337407,0.46271514892578125,5.767193099473641,-1.7006702800926978
20111128,41735,11.733112650538537,0.4993959273415881,0.4754295349121094,1.9375567007309755,-0.36936248535972405
20150922,11088,10.150894355986017,0.4879383094016064,0.390838623046875,2.10583327723192,-0.16239796870811846
20090716,424,9.70838466137744,0.43363638375076885,0.2510833740234375,1.4207665543946455,-0.024904274300582233
20141024,58932,11.783402882471288,0.4999999975407263,0.4999504089355469,5.496689696239913,-2.202738695507845
20110126,3154,11.619625083629277,0.4942551466482456,0.4244232177734375,0.8773691466749511,4.210837556795975
20100113,10380,10.13586830920282,0.49994833717470255,0.4928125,4.711151748171564,-1.7071187495502063
20090924,55941,11.708870466454462,0.49870539395234453,0.46404266357421875,3.7286308572271576,-1.4885081799902362
20120106,54882,11.741295335256025,0.49957280772155865,0.4793357849121094,5.4427400727895465,-2.2223725735154733
20101020,42802,11.499718637482946,0.4844987772639763,0.37646484375,2.3655497521053355,-0.6094776472564679
20100211,8216,9.92152391502223,0.4894300174114369,0.397734375,1.8738862528248392,-0.3381703660367774
20080715,441,8.37539918579835,0.20143875439827624,0.042373046875,3.33468657999976,5.631876307088764
20081020,20954,10.848637813090836,0.49999335322730476,0.502578125,2.7333419036343956,-1.0069291772471354
20100204,45863,11.541639250091173,0.48832505600347614,0.3925819396972656,2.72322008664895,-0.8465661949298701
20090902,54362,11.673112176961773,0.4972616511844777,0.4477424621582031,3.914572010123373,-0.982241891730242
20110331,53357,11.71518852830508,0.49890873936859476,0.4669837951660156,3.5353091604674685,-1.4859095892634668
20090320,16316,10.642969504301547,0.4916770774364105,0.409150390625,1.9641714265700236,-0.588814197863077
20090604,44142,11.528158845610825,0.48713900379665587,0.3873252868652344,3.95862921015613,-0.8052129704219486
20090508,39167,11.427029828946454,0.4769919087116275,0.3500709533691406,1.9282530226539312,-0.1315703984585571
20150722,48305,11.794368112631988,0.49997015860287775,0.505462646484375,3.0011144901285047,-1.3620766588528421
20090707,45647,11.54761670476016,0.48883685777035224,0.39493560791015625,2.5321661315886805,-0.6012633804514113
20150720,44743,11.540073596889242,0.4881895513260691,0.3919677734375,2.816126637982606,-0.7811250799608995
20090909,45838,11.501793736541677,0.48469749927906614,0.3772468566894531,4.179045287853369,-0.8517314586083932
20091001,47503,11.574566041118485,0.4910315214745163,0.40572357177734375,2.8064990757536856,-0.8948701323275097
20091109,48057,11.565555865033431,0.49031879996571864,0.4020843505859375,3.9292132696940514,-1.2683290545331514
20091120,10642,10.031704850336881,0.49686114367471923,0.4440625,3.062954281011348,-1.0042999279291942
20091112,52277,11.657674948856423,0.49649295620737044,0.4408836364746094,3.82527686140376,-1.2893545723687245
20091119,48810,11.577307723899487,0.49124407555748023,0.40683746337890625,2.594151464250141,-0.7918024578644104
20091223,54318,11.71373342373861,0.49886334008956296,0.4663047790527344,3.5302486776890847,-1.2781919415071266
20100224,52257,11.663704753754303,0.49680319031136705,0.44355010986328125,2.585586333851458,-0.8436767925985706
20100303,50929,11.646328099305753,0.49587536588042175,0.4359092712402344,2.7844277625724896,-0.929391627496466
20100302,51279,11.693537227565463,0.49814598496029494,0.4569816589355469,4.221677883603721,-1.296774993482605
20100507,50775,11.584399256428652,0.49178433887501355,0.4097328186035156,3.1754765815173265,-0.9903638722555089
20100608,41505,11.455158630786036,0.480016863539762,0.3600578308105469,3.743187253709293,-0.6489265114045101
20100624,39544,11.379188336897906,0.4715401139270882,0.33371734619140625,3.0473375719172453,-0.6213616824554459
20100628,52860,11.846335876127041,0.4989475164030286,0.5324249267578125,3.8505832731864094,-2.7597333083453894
20120409,37810,11.483630527913208,0.48292704653383733,0.3704566955566406,1.9407917306359832,-0.2787300412497504
20101027,53100,11.776343020685534,0.49998727819006505,0.4964332580566406,6.2004965481871865,-2.5018767448831993
20101102,46079,11.686710690741897,0.4978677238091263,0.4538726806640625,2.956559937053108,-0.8485992778034266
